Date,Discharge
7/1/1922,17400
7/2/1922,18100
7/3/1922,17200
7/4/1922,15800
7/5/1922,15600
7/6/1922,15400
7/7/1922,18100
7/8/1922,18100
7/9/1922,15800
7/10/1922,15800
7/11/1922,15100
7/12/1922,15800
7/13/1922,14700
7/14/1922,14700
7/15/1922,14700
7/16/1922,16500
7/17/1922,17200
7/18/1922,18300
7/19/1922,15800
7/20/1922,15800
7/21/1922,21200
7/22/1922,23000
7/23/1922,25600
7/24/1922,24300
7/25/1922,22700
7/26/1922,23000
7/27/1922,22500
7/28/1922,20500
7/29/1922,18100
7/30/1922,15800
7/31/1922,14300
8/1/1922,13600
8/2/1922,15400
8/3/1922,15800
8/4/1922,15400
8/5/1922,17600
8/6/1922,22700
8/7/1922,16900
8/8/1922,16700
8/9/1922,15600
8/10/1922,15600
8/11/1922,15100
8/12/1922,13600
8/13/1922,13600
8/14/1922,13600
8/15/1922,15400
8/16/1922,17900
8/17/1922,14500
8/18/1922,15800
8/19/1922,15800
8/20/1922,15800
8/21/1922,14900
8/22/1922,14700
8/23/1922,13600
8/24/1922,13400
8/25/1922,12600
8/26/1922,11900
8/27/1922,11500
8/28/1922,11900
8/29/1922,11100
8/30/1922,11100
8/31/1922,10500
9/1/1922,10500
9/2/1922,10500
9/3/1922,10500
9/4/1922,9500
9/5/1922,9110
9/6/1922,9110
9/7/1922,9110
9/8/1922,9500
9/9/1922,9500
9/10/1922,9500
9/11/1922,9310
9/12/1922,9110
9/13/1922,9110
9/14/1922,9500
9/15/1922,10100
9/16/1922,11100
9/17/1922,11500
9/18/1922,11500
9/19/1922,11100
9/20/1922,10100
9/21/1922,10100
9/22/1922,9500
9/23/1922,9500
9/24/1922,9110
9/25/1922,8920
9/26/1922,8540
9/27/1922,7610
9/28/1922,7610
9/29/1922,8540
9/30/1922,8160
10/1/1922,8160
10/2/1922,7610
10/3/1922,7980
10/4/1922,8350
10/5/1922,8540
10/6/1922,7980
10/7/1922,7610
10/8/1922,7790
10/9/1922,7980
10/10/1922,9500
10/11/1922,12100
10/12/1922,10500
10/13/1922,9500
10/14/1922,9500
10/15/1922,9110
10/16/1922,10900
10/17/1922,8540
10/18/1922,7980
10/19/1922,9500
10/20/1922,11300
10/21/1922,11300
10/22/1922,11100
10/23/1922,11100
10/24/1922,10500
10/25/1922,9110
10/26/1922,9110
10/27/1922,9110
10/28/1922,8920
10/29/1922,8540
10/30/1922,8350
10/31/1922,7980
11/1/1922,7610
11/2/1922,7610
11/3/1922,9500
11/4/1922,9110
11/5/1922,9110
11/6/1922,9110
11/7/1922,8540
11/8/1922,7610
11/9/1922,7980
11/10/1922,7980
11/11/1922,8350
11/12/1922,8160
11/13/1922,8920
11/14/1922,8160
11/15/1922,7610
11/16/1922,7610
11/17/1922,7980
11/18/1922,8350
11/19/1922,8350
11/20/1922,8350
11/21/1922,8350
11/22/1922,7980
11/23/1922,9310
11/24/1922,9890
11/25/1922,9890
11/26/1922,9500
11/27/1922,9310
11/28/1922,8920
11/29/1922,7610
11/30/1922,7240
12/1/1922,7610
12/2/1922,7980
12/3/1922,7980
12/4/1922,7980
12/5/1922,7980
12/6/1922,8160
12/7/1922,8160
12/8/1922,7980
12/9/1922,10100
12/10/1922,14700
12/11/1922,14500
12/12/1922,12600
12/13/1922,13600
12/14/1922,13600
12/15/1922,13000
12/16/1922,12600
12/17/1922,13600
12/18/1922,14700
12/19/1922,18300
12/20/1922,28000
12/21/1922,33300
12/22/1922,36500
12/23/1922,35800
12/24/1922,29100
12/25/1922,24000
12/26/1922,22200
12/27/1922,18800
12/28/1922,17400
12/29/1922,18100
12/30/1922,16900
12/31/1922,15100
1/1/1923,15600
1/2/1923,18100
1/3/1923,25600
1/4/1923,30000
1/5/1923,30300
1/6/1923,28300
1/7/1923,25800
1/8/1923,24300
1/9/1923,22700
1/10/1923,21500
1/11/1923,20200
1/12/1923,18100
1/13/1923,16900
1/14/1923,16500
1/15/1923,16500
1/16/1923,14700
1/17/1923,14300
1/18/1923,14700
1/19/1923,14700
1/20/1923,14300
1/21/1923,14300
1/22/1923,13600
1/23/1923,13200
1/24/1923,13600
1/25/1923,22200
1/26/1923,32700
1/27/1923,37800
1/28/1923,35500
1/29/1923,32400
1/30/1923,30600
1/31/1923,29400
2/1/1923,29600
2/2/1923,28400
2/3/1923,25600
2/4/1923,24300
2/5/1923,23000
2/6/1923,21700
2/7/1923,28300
2/8/1923,32700
2/9/1923,34200
2/10/1923,32700
2/11/1923,35500
2/12/1923,37400
2/13/1923,38800
2/14/1923,40200
2/15/1923,40700
2/16/1923,44100
2/17/1923,48000
2/18/1923,47300
2/19/1923,42300
2/20/1923,36500
2/21/1923,32700
2/22/1923,30600
2/23/1923,29300
2/24/1923,27300
2/25/1923,24100
2/26/1923,21600
2/27/1923,21200
2/28/1923,27000
3/1/1923,34900
3/2/1923,39700
3/3/1923,39200
3/4/1923,36100
3/5/1923,33000
