Florida Fish And Wildlife Conservation Commission
Commercial Landings Summary
Years: 1986 - 2017
"Species: OYSTERS"
Subject to Revision
Years before 2016 are final
"Report created: January 25, 2017"


Year,Area Description,Species,Pounds,Trips,Average Price,Estimated Value,
1986,APALACHEE BAY,OYSTERS,1494971,12529,1.24,1854637,
1986,CAPE CANAVERAL,OYSTERS,6109,111,1.94,11864,
1986,CRYSTAL RIVER-TARPON SPRINGS,OYSTERS,43437,579,1.99,86358,
1986,DESTIN,OYSTERS,10105,248,1.98,20012,
1986,EVERGLADES,OYSTERS,66,1,1.98,130,
1986,FORT MYERS,OYSTERS,440,7,1.98,872,
1986,FORT PIERCE,OYSTERS,341,7,1.98,677,
1986,JACKSONVILLE,OYSTERS,24590,131,1.98,48655,
1986,KEY WEST,OYSTERS,164,1,1.98,326,
1986,PANAMA CITY,OYSTERS,5033,93,1.98,9953,
1986,PENSACOLA,OYSTERS,223521,1110,0.95,212638,
1986,ST. AUGUSTINE,OYSTERS,361,12,1.98,716,
1986,UNKNOWN,OYSTERS,391869,3606,2.00,785454,
1987,APALACHEE BAY,OYSTERS,2794927,38924,1.85,5180718,
1987,CAPE CANAVERAL,OYSTERS,30077,484,1.87,56176,
1987,CRYSTAL RIVER-TARPON SPRINGS,OYSTERS,18536,395,1.86,34526,
1987,DESTIN,OYSTERS,1339,44,1.90,2537,
1987,FORT MYERS,OYSTERS,96,5,1.87,180,
1987,FORT PIERCE,OYSTERS,807,36,1.87,1510,
1987,JACKSONVILLE,OYSTERS,32568,201,1.78,58043,
1987,KEY WEST,OYSTERS,315,1,1.87,589,
1987,MARATHON,OYSTERS,29,3,1.87,55,
1987,PANAMA CITY,OYSTERS,5923,119,1.82,10776,
1987,PENSACOLA,OYSTERS,24693,512,1.76,43523,
1987,ST. AUGUSTINE,OYSTERS,19055,213,1.87,35656,
1987,UNKNOWN,OYSTERS,863383,11655,1.84,1589987,
1988,APALACHEE BAY,OYSTERS,1135888,26037,2.00,2274324,
1988,CAPE CANAVERAL,OYSTERS,6564,174,2.18,14323,
1988,CRYSTAL RIVER-TARPON SPRINGS,OYSTERS,11387,320,1.43,16292,
1988,DESTIN,OYSTERS,9528,175,1.84,17502,
1988,FORT MYERS,OYSTERS,98,3,2.20,216,
1988,FORT PIERCE,OYSTERS,28,3,2.13,61,
1988,JACKSONVILLE,OYSTERS,23875,338,1.82,43380,
1988,MARATHON,OYSTERS,368,1,1.98,727,
1988,Out-of-State,OYSTERS,98,1,2.20,216,
1988,PANAMA CITY,OYSTERS,26933,636,1.95,52587,
1988,PENSACOLA,OYSTERS,33320,623,1.29,42978,
1988,ST. AUGUSTINE,OYSTERS,47962,546,2.14,102870,
1988,UNKNOWN,OYSTERS,896046,16731,1.59,1420832,
1989,APALACHEE BAY,OYSTERS,850575,20028,2.26,1924559,
1989,CAPE CANAVERAL,OYSTERS,7153,214,1.94,13866,
1989,CRYSTAL RIVER-TARPON SPRINGS,OYSTERS,5573,175,2.48,13808,
1989,DESTIN,OYSTERS,2911,82,2.25,6548,
1989,FORT MYERS,OYSTERS,118,4,1.93,228,
1989,FORT PIERCE,OYSTERS,33,1,3.05,100,
1989,JACKSONVILLE,OYSTERS,20272,341,1.80,36576,
1989,Out-of-State,OYSTERS,88,1,2.29,200,
1989,PANAMA CITY,OYSTERS,20515,508,2.29,47075,
1989,PENSACOLA,OYSTERS,13772,209,2.34,32193,
1989,ST. AUGUSTINE,OYSTERS,68856,543,1.94,133652,
1989,UNKNOWN,OYSTERS,867891,16461,2.28,1979779,
1990,APALACHEE BAY,OYSTERS,1184112,24087,2.58,3058733,
1990,CAPE CANAVERAL,OYSTERS,16910,472,2.27,38328,
1990,CRYSTAL RIVER-TARPON SPRINGS,OYSTERS,4605,115,2.55,11735,
