County Landed,(All),,,,,,,,,,,,
,,,,,,,,,,,,,
,Values,,,,Suwannee,Levy+Dixie,Apalach,Frank+Wakulla+Gulf,,,Statewide,All,
Row Labels,Sum of Pounds,Sum of Trips,,Year,Landings,Trips,,Landings,Trips,,,Landings,Trips
1986,2201007,18435,,1986,1077487,6637,,620512,7191,,,2201007,18435
1987,3791748,52592,,1987,496523,7126,,2918389,39604,,,3791748,52592
1988,2192095,45588,,1988,505228,7851,,1338499,31226,,,2192095,45588
1989,1857754,38567,,1989,728627,11476,,882263,22617,,,1857754,38567
1990,2250475,41546,,1990,367777,8665,,1563583,27715,,,2250475,41546
1991,1917655,35294,,1991,152971,3214,,1332124,24903,,,1917655,35294
1992,2628142,38618,,1992,90914,1932,,1901981,27676,,,2628142,38618
1993,2788595,33505,,1993,68892,1175,,2069119,25118,,,2788595,33505
1994,2110112,24540,,1994,103011,1656,,1532347,17830,,,2110112,24540
1995,1512545,18587,,1995,60304,1019,,1075808,13190,,,1512545,18587
1996,1447417,15853,,1996,73435,1046,,1025891,10917,,,1447417,15853
1997,1898939,21204,,1997,87534,1335,,1445137,15774,,,1898939,21204
1998,1532785,18569,,1998,63721,962,,1397643,16278,,,1532785,18569
1999,2331718,27376,,1999,136741,1740,,2137790,24534,,,2331718,27376
2000,2570230,28762,,2000,122137,1907,,2355226,25511,,,2570230,28762
2001,2582715,28566,,2001,78007,1220,,2406752,25903,,,2582715,28566
2002,1935435,23200,,2002,89290,1354,,1783180,20686,,,1935435,23200
2003,1734664,22297,,2003,77283,1266,,1485254,18526,,,1734664,22297
2004,1670528,20272,,2004,54598,872,,1524426,17838,,,1670528,20272
2005,1455028,15072,,2005,120342,1187,,1290830,12951,,,1455028,15072
2006,2444883,26397,,2006,178436,2063,,2194110,23044,,,2444883,26397
2007,3028175,33198,,2007,188671,2216,,2790738,29984,,,3028175,33198
2008,2562153,31605,,2008,128169,2040,,2346790,28126,,,2562153,31605
2009,2915429,42984,,2009,63265,1162,,2748783,40377,,,2915429,42984
2010,2210328,36086,,2010,58894,913,,2049107,33570,,,2210328,36086
2011,3179210,51358,,2011,147420,1634,,2900451,47692,,,3179210,51358
2012,3408904,59344,,2012,169129,2028,,3088823,54503,,,3408904,59344
2013,1290470,29984,,2013,150579,2057,,1074653,26120,,,1290470,29984
2014,753797,21894,,2014,65728,1248,,608985,18528,,,753797,21894
2015,846441,24899,,2015,210000,3689,,518204,18317,,,846441,24899
2016,881813,25711,,2016,374166,6213,,374051,16462,,,881813,25711
2017,710389,21767,,2017,398389,6630,,256267,13632,,,710389,21767
Grand Total,66641579,973670,,,,,,,,,,,
