Florida Fish And Wildlife Conservation Commission
Commercial Landings Summary
Years: 2016 - 2017
"Species: OYSTERS"
Subject to Revision
Years before 2017 are final
"Report created: February 5, 2018"


Year,County Landed,Species,Pounds,Trips,Average Price,Estimated Value,
2016,BAY,OYSTERS,75865,1773,5.69,432050,
2016,BREVARD,OYSTERS,56,1,5.32,300,
2016,CITRUS,OYSTERS,120,3,6.26,755,
2016,DIXIE,OYSTERS,155616,2386,5.47,850971,
2016,FRANKLIN,OYSTERS,374051,16462,6.94,2595146,
2016,Inland/Out-of-State,OYSTERS,125,6,7.31,912,
2016,LEE,OYSTERS,4666,134,5.59,26098,
2016,LEVY,OYSTERS,218550,3827,5.04,1101893,
2016,SANTA ROSA,OYSTERS,2189,65,4.42,9678,
2016,ST JOHNS,OYSTERS,50308,1042,5.21,261984,
2016,VOLUSIA,OYSTERS,267,12,4.66,1242,
2017,BAY,OYSTERS,15875,479,7.60,120714,
2017,CITRUS,OYSTERS,605,14,6.57,3976,
2017,DIXIE,OYSTERS,147920,2612,5.82,861005,
2017,FRANKLIN,OYSTERS,256267,13632,8.07,2069014,
2017,LEE,OYSTERS,5494,206,5.70,31326,
2017,LEVY,OYSTERS,250469,4018,4.89,1224043,
2017,SANTA ROSA,OYSTERS,2767,77,4.57,12651,
2017,ST JOHNS,OYSTERS,30313,715,5.22,158086,
2017,VOLUSIA,OYSTERS,679,14,5.51,3740,
