Florida Fish And Wildlife Conservation Commission
Commercial Landings Summary
Years: 1986 - 2017
"Species: OYSTERS"
Subject to Revision
Years before 2016 are final
"Report created: January 25, 2017"


Year,Species,Month,Pounds,Trips,Average Price,Estimated Value,
1986,OYSTERS,January,250382,1264,1.20,299793,
1986,OYSTERS,February,217608,973,0.97,210479,
1986,OYSTERS,March,243661,1162,1.14,276691,
1986,OYSTERS,April,298515,1211,0.75,223619,
1986,OYSTERS,May,266300,1352,0.81,216547,
1986,OYSTERS,June,55882,834,1.88,104950,
1986,OYSTERS,July,66987,906,2.01,134711,
1986,OYSTERS,August,32010,638,1.99,63856,
1986,OYSTERS,September,156533,2203,1.91,299735,
1986,OYSTERS,October,192271,2639,1.97,377943,
1986,OYSTERS,November,200094,2501,1.98,395622,
1986,OYSTERS,December,220765,2752,1.94,428350,
1987,OYSTERS,January,297121,3631,1.85,550980,
1987,OYSTERS,February,297862,3685,1.85,550790,
1987,OYSTERS,March,328250,3984,1.86,609475,
1987,OYSTERS,April,565045,6212,1.86,1048207,
1987,OYSTERS,May,464537,5865,1.86,862086,
1987,OYSTERS,June,235255,3626,1.87,440030,
1987,OYSTERS,July,375742,4743,1.84,693097,
1987,OYSTERS,August,123366,2510,1.88,232467,
1987,OYSTERS,September,177796,3544,1.84,326646,
1987,OYSTERS,October,361684,5445,1.84,666016,
1987,OYSTERS,November,232985,3995,1.83,426502,
1987,OYSTERS,December,332103,5424,1.83,607981,
1988,OYSTERS,January,305702,5383,1.82,556425,
1988,OYSTERS,February,260421,4765,1.81,472647,
1988,OYSTERS,March,317473,6264,1.79,568174,
1988,OYSTERS,April,234316,4973,1.78,416208,
1988,OYSTERS,May,202363,4710,1.84,371723,
1988,OYSTERS,June,93336,2744,1.73,161680,
1988,OYSTERS,July,152647,3080,1.77,270065,
1988,OYSTERS,August,54276,1631,1.79,97201,
1988,OYSTERS,September,104335,2033,1.91,199413,
1988,OYSTERS,October,167267,3487,1.84,308035,
1988,OYSTERS,November,128121,2862,1.92,245885,
1988,OYSTERS,December,171838,3657,1.86,318852,
1989,OYSTERS,January,187517,4095,2.17,407830,
1989,OYSTERS,February,166535,3529,2.13,354124,
1989,OYSTERS,March,182365,3605,2.16,393065,
